date,title,venue,city,description
Wed Nov 27,High Bar NYC - Thanksgiving Eve! Featuring music by SPECIAL GUEST DJS!,High Bar  ,New York,Slick Parties Presents.....✨ Thanksgiving Eve 2019 @ High Bar NYC - Nov. 27th✨ 🦃Buy Tickets to Enter!! Doors open at 10pm! 21+ to enter with valid I.D.Tickets will go fast! Click the green tickets button above now before they're sold out!High Bar NYC346 West 40th StreetNew York NY 10018High Bar NYC residing in the heart of Hell's Kitchen in Midtown NYC is a rooftop bar and lounge that offers Instagram worthy 360 views of the NYC skyline. Prepared to be wowed with the amazing rooftop vibes tasty cocktails and  posh ambiance - an experience you will remember for years.💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.   NO REFUNDS
Wed Nov 27,TAO Downtown - THANKSGIVING EVE 2019! Music by AMMO & EDAV. MIKE SOUNDS,TAO Downtown ,New York,Slick Parties Presents.....✨Thanksgiving Eve 2019 at Tao Downtown - Nov. 27th ✨🦃Buy Tickets to Enter!! Doors Open 11:00pm 21+ to enter with valid I.DTickets will go fast! Click the green tickets button above now before they're sold out!Tao Downtown92 9th AvenueNew York NY 10011Tucked away within the grandeur of Tao Downtown’s restaurant is a hidden gem and “in the know” oasis called Tao Downtown Nightclub. Located in the Meatpacking District Tao Downtown Nightclub is a 2500 sq foot drinks-only lounge that has attracked VIPS and celebrities with it's stunning Pan-Asia inspired flare. 💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.  NO REFUNDS
Wed Nov 27,Rum and Coke Thanksgiving Eve @ SOB's,SOB’s ,New York,not available
Thu Dec 26,Yo La Tengo,Bowery Ballroom ,New York,Tickets on sale Fri 9/06 at 12pm EST
Thu Nov 28,Macy's Thanksgiving Day Parade Premium Viewing Brunch With Private Outdoor ...,Quality Italian ,New York,not available
Tue Dec 31,Gatsby's House New York New Year's Eve 2020,Hudson Terrace Salon & Patio ,New York,not available
Sun Apr 7,The Airborne Toxic Event,Bowery Ballroom ,New York,Tickets on sale Fri 10/25 at 12pm EST*Tickets will be delivered at a later date prior to the event.
Wed Nov 27,**SOLD OUT!!** LAVO - THANKSGIVING EVE 11/27!,Lavo Nightclub ,New York,Slick Parties Presents.....✨Thanksgiving Eve 2019 at Lavo - Nov. 27th✨🦃Buy Tickets to Enter!! Doors Open 11:00pm 21+ to enter with valid I.DTickets will go fast! Click the green tickets button above now before they're sold out!Lavo39 East 58th StreetNew York NY 10022💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.  The ultimate subterranean playground LAVO Nightclub is designed with a multi-layered voyeuristic approach ideal for both after dinner entertaining and late night revelry.Tassel adorned curtains at the entrance open to reveal an expansive herringbone tiled space outfitted with custom designed metal railings wood tufted panels and rich leathers; the raised VIP area features plush banquettes. The sunken dance floor; the focal point of the room features a multitude of LED screens and the raised DJ booth which can also be used for performances is visible from any area in the club. An exclusively designed Martin Audio showcase system has been installed to provide unparalled sound resonating throughout the entire space. NO REFUNDS
Mon Feb 11,YBN Cordae @ Elsewhere (Hall),Elsewhere (Hall) ,New York,ONSALE: FRIDAY 11/15 10AM ESTVIP Package includes:GA TicketMeet & Greet with YBN CordaePhoto OpportunityEarly Entry into the VenueCommemorative LaminateExclusive Merch ItemElsewhere is intended to be a safe space to enjoy music art expression and free play. Elsewhere reserves the right to deny remove and/or ban any customer deemed to be disrespecting our zero-tolerance harassment policy. Please read our full policy at: https://bit.ly/2VxByad All ticket sales are final and Elsewhere does not offer refunds for any reason except event cancellation or reschedule. Opening performers door times and set times are subject to change without notice. All ticket holders must present a valid US government-issued ID or passport upon entering and Elsewhere reserves the right to refuse entry without refund to anyone who does not have a valid ID or meet the event's age requirement. Please note that Elsewhere does not accept foreign IDs of any kind other than passports. Elsewhere does not guarantee the validity or use for admittance of tickets purchased via 3rd party resellers of any kind.
Wed Dec 4,46th Annual Awards Program (Tickets),Sheraton Times Square ,New York,not available
Fri Dec 6,Free Comedy Show,O.P.P.A. ,New York,not available
Tue Dec 31,New Year's Eve 2020 with a GUARANTEED direct view of the Ball Drop for ALL ...,Supernova Ball Drop at Novotel  Times Square (inside party and rooftop) ,New York,not available
Sat Nov 30,Henny Fest Thanksgiving Weekend @ Hudson Terrace,Hudson Terrace ,New York,not available
Wed Apr 17,Third Annual Buffering the Vampire Slayer PROM!!!,The Bell House ,New York,"	It's the third annual Buffy Prom and this time it is a two night affair!! Kristin Russo & Jenny Owen Youngs will be at The Bell House for a live taping of Buffy Season 5 Episode 15: ""I Was Made to Love You"" on Friday night April 17th followed by the most epic prom to date on Saturday April 18th!!! Buffering the Vampire Slayer - named one of the top podcasts of 2018 by Time Esquire and BBC America - is a TV recap podcast that discusses the cult TV series Buffy the Vampire Slayer one episode at a time and creates an original song for each and every episode. There will be special guests! There will be laughs! There will be patriarchy jingles! There will be live music! THERE WILL BE DANCING!! AWOOOOoooOOOOooooooOOoo!More information including run of show door times and how to gain access to advance ticket sales on 11/6 can be found at bufferingthevampireslayer.com/prom--	"
Thu Jan 24,Goose,Bowery Ballroom ,New York,Tickets on sale Fri 11/01 at 12pm ESTCiti® Cardmember Presale: Tues 10/29 at 10am - Thurs10/31 at 10pm ESTCode: Use the first six digits of your Citi® card.
Wed Nov 27,BOUNCE - November 27th Thanksgiving Eve! Music by Big Ben & Joey Styles!,Bounce Sporting Club ,New York,Slick Parties Presents.....✨Thanksgiving Eve 2019 at Bounce - November 27th✨🦃Buy Tickets to Enter!! Doors Open 10:00pm 21+ to enter with valid I.DTickets will go fast! Click the green tickets button above now before they're sold out! Bounce55 West 21st StreetNew York NY 10010NYC's spacious upscale  sports bar featuring creative cocktails & pub fare with a twist! Located in the heart of the Flatiron District of NYC; Bounce is a unique experience of sports bar meets nightclub. Viewed as an upscale sports bar it offers colorful cocktails in an atmosphere you won't soon forget. 💫 Looking to book bottle service? 🍾🥂 Contact us at info@slickparties.com to get a custom table service quote for your party! Please include the number of guys/girls in your party and the date & club you're interested in.  NO REFUNDS
Sun Dec 15,29Rooms New York - December 152019,25 Kent ,New York,The Expand Your Reality Tour is the latest 29Rooms experience from Refinery29 - a space where you're encouraged to step into the art wear the art touch the art and connect with others (and yourself) in the process.  Created in collaboration with innovative talent visionary artists and your favorite brands 29Rooms pairs the joy and play of exploration with the pulse of current events and culture. SESSION TIMES:Open daily beginning at 10:30AM on weekends and 1:30PM on weekdays*Your 29Rooms GA ticket gives you 2.5 hours to explore our creative world a.k.a. plenty of time to fully immerse yourself and let your imagination run wild. But be sure to check the session start time on your ticket as you will only be granted entry at that specific time.IMPORTANT INFORMATION:In order to get the most out of your 29Rooms visit we recommend arriving 15 minutes before your session’s start time to ensure a quick and easy check-in. (So if your start time is 5:30 PM try getting to the venue by 5:15 PM!)29Rooms TICKET POLICY:There are no ticket refunds or exchanges. All sales are final. Event is rain or shine.Children 2 & under are admitted FREETickets are only valid for the date and session on your ticket. Sessions are valid for 2.5 hours after the designated start time.If you can’t find your PDF or Mobile ticket please visit the Tickets section of your Eventbrite account.In the event that the purchaser cannot use ticket tickets are transferable (i.e. purchaser can give their ticket to a friend for use). Entry is based on ticket barcode (not name of purchaser).Each ticket will be scanned and is only good for ONE single-person entry. There is no re-entry.Need Help?Head to www.29Rooms.com for more information including our Frequently Asked Questions.Follow us on social @29Rooms for all updates and announcements. And feel free to DM us with any comments questions or cute dog memes.Still have a question that hasn't been addressed or want to find out how you can be more involved with 29Rooms? Email us at info@29Rooms.com.
Sat Dec 21,TroyBoi - Nostalgia Tour,Great Hall - Avant Gardner ,New York,Avant Gardner & The Bowery PresentsTroyBoiwith Yultron and ArgenilNostalgia TourTroyBoi is an artist who needs no introduction a unique voice carrying the banner for versatile highly musical beats that lie at the intersection of experimental bass trap and grime. Listen to TroyBoi’s new EP “V!BEZ Vol. 3”: https://spoti.fi/2OFUgOA Limited tables available: reservations@avant-gardner.com12/21/19 @ Great Hall at Avant Gardner (Brooklyn NY)19+Doors at 9pmFollow TroyBoi:Website - www.troyboimusic.comFacebook - www.facebook.com/troyboimusic Twitter - www.twitter.com/TroyBoiMusic Instagram - www.instagram.com/troyboi_musicSpotify - https://spoti.fi/2OGTC3o YouTube - www.youtube.com/channel/UCAeU5pSbiHwJ5n0u0Ui4HtA Soundcloud - www.soundcloud.com/troyboi
Tue Jan 1,SPARKLE,Brooklyn ,New York,not available
Thu Dec 5,Skift Short-Term Rental Summit,636 11th Ave ,New York,The focus of this intense one-day summit will be on discussing key players mapping the landscape and identifying growth potential highlighting emerging technologies sharing new research and insights on the latest government regulations and discussing business and landscape challenges.  What’s Included in My Ticket? Skift events mix high production levels and the best hospitality practices. Access to entire single-track eventLunchNetworking breaks
Fri Dec 13,29Rooms New York - December 132019,25 Kent ,New York,The Expand Your Reality Tour is the latest 29Rooms experience from Refinery29 - a space where you're encouraged to step into the art wear the art touch the art and connect with others (and yourself) in the process.  Created in collaboration with innovative talent visionary artists and your favorite brands 29Rooms pairs the joy and play of exploration with the pulse of current events and culture. SESSION TIMES:Open daily beginning at 10:30AM on weekends and 1:30PM on weekdays*Your 29Rooms GA ticket gives you 2.5 hours to explore our creative world a.k.a. plenty of time to fully immerse yourself and let your imagination run wild. But be sure to check the session start time on your ticket as you will only be granted entry at that specific time.IMPORTANT INFORMATION:In order to get the most out of your 29Rooms visit we recommend arriving 15 minutes before your session’s start time to ensure a quick and easy check-in. (So if your start time is 5:30 PM try getting to the venue by 5:15 PM!)29Rooms TICKET POLICY:There are no ticket refunds or exchanges. All sales are final. Event is rain or shine.Children 2 & under are admitted FREETickets are only valid for the date and session on your ticket. Sessions are valid for 2.5 hours after the designated start time.If you can’t find your PDF or Mobile ticket please visit the Tickets section of your Eventbrite account.In the event that the purchaser cannot use ticket tickets are transferable (i.e. purchaser can give their ticket to a friend for use). Entry is based on ticket barcode (not name of purchaser).Each ticket will be scanned and is only good for ONE single-person entry. There is no re-entry.Need Help?Head to www.29Rooms.com for more information including our Frequently Asked Questions.Follow us on social @29Rooms for all updates and announcements. And feel free to DM us with any comments questions or cute dog memes.Still have a question that hasn't been addressed or want to find out how you can be more involved with 29Rooms? Email us at info@29Rooms.com.
